,userIDs,group_id,RoleName,m_experimental_testing,m_making_design_choices,m_asking_questions,j_customer_consultants_requests,j_performance_parameters_requirements,j_communication,OutcomeScore,wordCount
0,1,4,Mentor,3,26,30,3,6,19,4,3778
1,2,2,Player,2,4,17,0,4,0,4,704
2,3,2,Player,1,4,3,0,1,0,4,157
3,4,2,Player,2,2,3,1,5,0,4,349
4,5,2,Player,0,0,6,0,2,0,2,342
5,6,2,Player,0,2,7,1,3,0,2,399
6,7,2,Player,2,4,8,0,5,0,5,392
7,8,2,Player,3,5,10,0,1,1,4,664
8,9,3,Player,5,9,10,2,6,0,4,975
9,10,3,Player,0,3,4,0,0,2,4,305
10,11,3,Player,0,0,0,0,1,0,4,52
11,12,3,Player,1,1,2,0,3,0,3,344
12,13,3,Player,0,1,5,0,1,0,5,299
13,14,3,Player,0,2,4,1,0,0,2,480
14,15,4,Player,3,3,9,0,0,0,0,349
15,16,4,Player,7,3,16,0,4,1,4,750
16,17,4,Player,1,1,1,0,0,0,4,113
17,18,4,Player,4,5,11,0,2,1,4,397
18,19,4,Player,2,10,14,0,5,1,0,814
19,20,4,Player,1,1,3,2,5,0,2,398
20,21,4,Player,7,2,5,0,2,0,4,413
21,22,6,Mentor,2,9,18,2,4,10,4,1703
22,23,5,Player,1,5,3,1,5,0,3,563
23,24,5,Player,0,9,8,1,3,2,2,478
24,25,5,Player,0,1,0,0,0,0,5,93
25,26,5,Player,0,5,2,2,4,0,1,343
26,27,5,Player,1,7,9,0,1,1,4,715
27,28,5,Player,0,5,2,2,1,0,0,278
28,29,6,Player,1,1,0,0,1,0,1,87
29,30,6,Player,0,5,4,0,2,1,4,356
30,31,6,Player,0,7,11,0,7,2,2,738
31,32,6,Player,0,1,0,0,0,0,2,116
32,33,6,Player,1,16,20,1,9,0,2,1203
33,34,6,Player,0,4,5,0,2,1,2,327
34,35,2,Player,0,1,4,0,2,0,4,255
35,36,2,Player,0,8,10,3,4,1,4,783
36,37,4,Mentor,3,13,46,0,3,12,4,2185
37,38,2,Player,0,2,1,0,0,0,0,42
38,39,2,Player,2,14,6,1,3,1,2,661
39,40,3,Player,0,4,3,0,2,0,4,545
40,41,3,Player,0,5,9,0,3,2,4,521
41,42,3,Player,0,3,3,1,0,0,4,215
42,43,3,Player,0,5,4,1,1,0,4,450
43,44,3,Player,0,0,0,1,0,0,1,144
44,45,3,Player,0,1,1,0,1,0,3,194
45,46,4,Player,15,2,10,1,5,0,4,861
46,47,4,Player,3,0,11,0,1,0,3,462
47,48,4,Player,0,1,0,0,1,0,4,115
48,49,4,Player,1,1,3,0,0,0,4,305
49,50,4,Player,4,3,5,1,3,0,3,370
50,51,4,Player,2,2,3,0,3,0,4,355
51,52,6,Mentor,2,15,27,2,6,16,4,2486
52,53,5,Player,0,4,1,0,1,0,3,195
53,54,5,Player,0,4,13,1,0,0,4,543
54,55,5,Player,3,9,18,3,5,0,4,831
55,56,5,Player,0,0,3,0,3,0,4,383
56,57,5,Player,3,2,6,1,2,0,5,286
57,58,6,Player,1,1,10,2,2,3,5,609
58,59,6,Player,0,3,13,2,7,2,3,776
59,60,6,Player,0,2,3,0,0,0,2,253
60,61,6,Player,0,4,13,3,6,4,2,634
61,62,6,Player,1,2,8,1,1,1,4,536
62,63,6,Mentor,5,34,47,5,10,37,4,6388
63,64,2,Player,2,8,8,0,3,0,5,735
64,65,2,Player,0,4,18,2,3,1,4,961
65,66,2,Player,0,1,10,0,3,0,4,577
66,67,2,Player,0,4,30,1,9,2,2,1355
67,68,2,Player,1,8,13,1,3,1,5,581
68,69,2,Player,5,7,20,4,6,1,1,2481
69,70,3,Player,0,6,11,0,1,1,4,529
70,71,3,Player,2,12,22,1,3,2,1,965
71,72,3,Player,1,2,10,0,2,0,0,453
72,73,3,Player,1,3,12,0,1,0,5,546
73,74,3,Player,0,3,14,0,4,1,2,757
74,75,4,Player,0,8,14,0,1,0,4,695
75,76,4,Player,0,5,22,0,2,0,2,579
76,77,4,Player,0,2,2,0,2,0,2,165
77,78,4,Player,0,5,18,0,4,1,5,525
78,79,4,Player,2,3,8,0,5,0,3,787
79,80,5,Player,2,4,12,0,6,0,4,465
80,81,5,Player,1,6,11,2,3,0,5,576
81,82,5,Player,0,6,7,0,2,0,4,509
82,83,5,Player,1,1,2,1,0,0,2,234
83,84,5,Player,3,6,11,0,3,0,4,506
84,85,6,Player,8,14,29,1,7,0,3,1036
85,86,6,Player,1,5,6,0,4,0,4,716
86,87,6,Player,2,4,13,0,1,1,4,530
87,88,6,Player,3,2,4,0,0,0,2,363
88,89,6,Player,0,0,1,0,0,0,2,38
89,90,4,Mentor,2,9,38,0,5,8,4,1988
90,91,2,Player,1,2,3,0,0,0,2,169
91,92,2,Player,1,11,22,0,3,0,4,1085
92,93,2,Player,3,10,9,3,3,1,4,843
93,94,2,Player,1,6,6,1,2,1,4,663
94,95,2,Player,0,0,0,0,0,0,0,1
95,96,3,Player,2,9,16,2,2,1,3,706
96,97,3,Player,0,4,13,0,1,0,3,246
97,98,3,Player,1,12,9,1,3,0,2,930
98,99,3,Player,0,2,8,1,0,0,6,526
99,100,3,Player,0,3,7,0,1,0,4,496
100,101,4,Player,0,2,6,0,0,0,1,157
101,102,4,Player,2,9,27,0,6,0,4,1017
102,103,4,Player,6,4,12,0,5,1,1,876
103,104,4,Player,1,9,7,4,3,6,1,809
104,105,4,Player,0,6,28,0,1,1,2,298
105,106,5,Player,5,7,11,2,1,2,5,661
106,107,6,Mentor,0,4,24,2,2,0,4,956
107,108,5,Player,4,6,8,1,2,0,5,523
108,109,5,Player,5,5,10,0,1,1,5,621
109,110,5,Player,1,5,8,1,2,0,4,429
110,111,5,Player,2,3,11,1,5,2,6,420
111,112,5,Player,2,6,2,0,0,0,4,327
112,113,6,Player,3,3,4,0,2,0,1,620
113,114,6,Player,0,10,21,1,5,1,4,828
114,115,6,Player,0,2,2,0,1,0,3,272
115,116,6,Player,0,6,19,1,1,0,4,439
116,117,4,Mentor,0,7,19,2,6,10,4,1841
117,118,2,Player,0,2,0,0,1,0,6,329
118,119,2,Player,1,1,8,0,1,0,7,211
119,120,2,Player,0,1,5,3,1,0,2,224
120,121,2,Player,0,0,7,0,0,0,0,191
121,122,2,Player,0,0,4,0,3,1,2,341
122,123,2,Player,0,2,5,0,0,0,4,209
123,124,3,Player,4,5,14,4,2,2,4,1236
124,125,3,Player,1,15,21,7,7,5,4,1158
125,126,3,Player,1,7,13,1,5,3,4,1100
126,127,3,Player,0,1,1,0,0,0,4,126
127,128,3,Player,4,9,4,3,3,1,4,780
128,129,4,Player,0,9,19,0,4,4,2,966
129,130,4,Player,0,6,7,0,0,0,5,264
130,131,4,Player,0,1,3,0,4,0,6,298
131,132,4,Player,1,3,2,0,1,0,3,256
132,133,4,Player,0,2,0,0,2,0,5,119
133,134,6,Mentor,2,10,27,0,4,9,4,2113
134,135,5,Player,0,25,18,0,3,0,4,1329
135,136,5,Player,3,5,5,0,1,0,4,345
136,137,5,Player,3,6,9,0,2,0,4,401
137,138,5,Player,3,14,19,3,1,2,5,1134
138,139,5,Player,0,0,2,0,0,0,1,92
139,140,6,Player,0,1,2,0,1,0,3,169
140,141,6,Player,0,2,2,0,0,1,1,247
141,142,6,Player,0,5,15,0,3,0,5,518
142,143,6,Player,0,4,1,1,1,0,5,290
143,144,4,Mentor,0,10,1,3,3,19,4,2873
144,145,2,Player,0,4,8,1,2,1,4,323
145,146,2,Player,1,4,13,0,3,1,2,449
146,147,2,Player,1,4,4,3,1,0,6,405
147,148,2,Player,0,3,0,0,3,0,4,219
148,149,2,Player,0,7,17,1,6,2,3,594
149,150,6,Mentor,0,3,15,2,4,5,4,1374
150,151,3,Player,4,10,18,2,8,3,5,1308
151,152,3,Player,1,4,12,2,6,0,6,699
152,153,3,Player,0,3,6,1,3,0,4,455
153,154,3,Player,0,7,21,2,0,0,5,483
154,155,3,Player,0,1,4,0,1,0,2,95
155,156,4,Player,0,7,17,2,5,1,2,710
156,157,4,Player,3,4,5,1,4,0,3,536
